event_date,health_zone,total_vaccinated
20180527,Mbandaka,368
20180529,Mbandaka,444
20180529,Bikoro,74
20180529,Iboko,43
20180530,Mbandaka,499
20180530,Bikoro,113
20180530,Iboko,70
20180531,Mbandaka,529
20180531,Bikoro,169
20180531,Iboko,111
20180601,Mbandaka,567
20180601,Bikoro,169
20180601,Iboko,166
20180602,Mbandaka,567
20180602,Bikoro,269
20180602,Iboko,276
20180603,Mbandaka,577
20180603,Bikoro,299
20180603,Iboko,323
20180604,Mbandaka,597
20180604,Bikoro,299
20180604,Iboko,473
20180605,Mbandaka,622
20180605,Bikoro,372
20180605,Iboko,555
20180605,Ingende,30
20180606,Mbandaka,673
20180606,Bikoro,398
20180606,Iboko,725
20180606,Ingende,30
20180607,Mbandaka,698
20180607,Bikoro,498
20180607,Iboko,838
20180607,Ingende,30
20180608,Mbandaka,713
20180608,Bikoro,498
20180608,Iboko,904
20180608,Ingende,30
20180609,Mbandaka,713
20180609,Bikoro,498
20180609,Iboko,980
20180609,Ingende,30
