,District_Name,Total,risk_index
156,Beni:Beni,718,0.16850504576390518
459,Butembo:Butembo,352,0.08260971602910115
460,Butembo:Katwa,347,0.0814362825627787
189,Beni:Oicha,226,0.05303919267777517
461,Butembo:Kayna,131,0.030743956817648438
178,Beni:Mutwanga,119,0.027927716498474538
315,Rutshuru:Rutshuru,115,0.02698896972541657
241,Masisi:Masisi,111,0.0260502229523586
300,Bunia:Bunia,90,0.021121802393804272
310,Rutshuru:Binza,87,0.020417742314010796
167,Beni:Kyondo,78,0.01830556207463037
466,Butembo:Musienene,73,0.017132128608307907
312,Rutshuru:Birambizo,72,0.01689744191504342
462,Butembo:Lubero,70,0.016428068528514434
22,Haut Uele Ouest:Isiro,56,0.013142454822811546
313,Rutshuru:Goma,55,0.012907768129547055
240,Masisi:Kirotshe,55,0.012907768129547055
242,Masisi:Mweso,45,0.010560901196902136
102,Kisangani:Makiso-Kisangani,42,0.00985684111710866
347,SK Sud:Lemera,39,0.009152781037315184
484,Djugu:Drodro,38,0.008918094344050692
485,Djugu:Fataki,38,0.008918094344050692
351,SK Sud:Uvira,35,0.008214034264257217
27,Haut Uele Ouest:Wamba,35,0.008214034264257217
243,Masisi:Pinga,35,0.008214034264257217
322,Bunia:Komanda,34,0.007979347570992725
343,SK Sud:Haut-Plateau,34,0.007979347570992725
463,Butembo:Manguredjipa,33,0.0077446608777282325
356,Bunia:Mandima,32,0.007509974184463741
23,Aru:Nyarambe,31,0.007275287491199249
494,Djugu:Rethy,29,0.006805914104670265
333,Aru:Ariwara,29,0.006805914104670265
345,Bunia:Mambasa,28,0.006571227411405773
444,Aru:Aru,27,0.0063365407181412816
18,Haut Uele Est:Watsa,26,0.006101854024876789
272,Mongala:Yamaluka,26,0.006101854024876789
12,Aru:Mahagi,24,0.005632480638347806
465,Aru:Aungba,21,0.00492842055855433
458,Butembo:Biena,21,0.00492842055855433
464,Butembo:Masereka,20,0.004693733865289838
492,Djugu:Mongbalu,19,0.004459047172025346
21,Haut Uele Ouest:Dungu,18,0.004224360478760855
395,Tanganika:Moba,18,0.004224360478760855
342,SK Sud:Fizi,18,0.004224360478760855
479,Dingila:Ganga,17,0.003989673785496362
15,Haut Uele Est:Faradje,17,0.003989673785496362
25,Haut Uele Ouest:Pawa,17,0.003989673785496362
326,SK Nord:Idjwi,16,0.0037549870922318706
480,Dingila:Poko,16,0.0037549870922318706
311,Bunia:Gethy,15,0.0035203003989673787
232,Maniema Sud:Kasongo,14,0.0032856137057028865
244,Masisi:Walikale,14,0.0032856137057028865
432,Tshopo Lomami:Yabaondo,14,0.0032856137057028865
487,Aru:Kambala,14,0.0032856137057028865
19,Haut Uele Ouest:Boma-Mangbetu,14,0.0032856137057028865
316,Rutshuru:Rwanguba,14,0.0032856137057028865
1,Aru:Logo,14,0.0032856137057028865
24,Haut Uele Ouest:Niangara,13,0.0030509270124383947
169,Lubumbashi:Lubumbashi,13,0.0030509270124383947
0,Aru:Adi,12,0.002816240319173903
